CPF;FULL_NAME;PROFESSION;COUNCIL;REGISTRATION;UF;STATUS
84275286049;JOAO CARLOS DA SILVA;MEDICIAN;CRM;10000;SP;ACTIVE
91520850077;MARIA EDUARDA SANTOS;PHYSIOTHERAPIST;CREFITO;10001;SP;INACTIVE
95552844076;PEDRO HENRIQUE OLIVEIRA;NUTRITIONIST;CRN;10002;SP;ACTIVE
94382951003;ANA PAULA FERREIRA;SPEECH THERAPIST;CREFONO;10003;SP;INACTIVE
67704976036;LUCAS GABRIEL COSTA;PSYCHOLOGIST;CRP;10004;SP;ACTIVE
44658711044;FERNANDA ALVES ROCHA;MEDICIAN;CRM;10005;SP;INACTIVE
71642792098;RAFAEL MENDES PEREIRA;PHYSIOTHERAPIST;CREFITO;10006;SP;ACTIVE
34954400031;CAROLINA RIBEIRO LIMA;NUTRITIONIST;CRN;10007;SP;INACTIVE
42152674049;BRUNO MATHEUS ARAUJO;SPEECH THERAPIST;CREFONO;10008;SP;ACTIVE
49714838029;JULIANA TEIXEIRA BARBOSA;PSYCHOLOGIST;CRP;10009;SP;INACTIVE
67345001016;DANIEL MOREIRA SOUZA;MEDICIAN;CRM;10010;SP;ACTIVE
32725958059;PATRICIA FARIAS NUNES;PHYSIOTHERAPIST;CREFITO;10011;SP;INACTIVE
75261242096;GUILHERME LOPES MACHADO;NUTRITIONIST;CRN;10012;SP;ACTIVE
43388538085;RENATA PACHECO GUEDES;SPEECH THERAPIST;CREFONO;10013;SP;INACTIVE
18016944000;THIAGO VINICIUS RANGEL;PSYCHOLOGIST;CRP;10014;SP;ACTIVE
